,train,val,test
0,8adb6e80e34d373bbf04ba09714ac085,6e03e9af6dee3754ae9cf512c3fa4a49,883cac18753d326da21a59ba9e134872
1,8f9ed5e19d7638ebbe0589e8259d527f,3c21c35d55ab31979621c14c10455dbb,4532155c1da23c85a95e8872af2c4e31
2,48a63d4835c130e3a3745c61682ff980,a89df1b7bc033253bf348202c4be5522,ba5a8d229b163a83aa59e2cfcad4b472
3,61d24b233da23737b5ecefb40a06c276,c942e05ab43939069f0ef5d45baf4e2b,138da0d764473bea861e3c14adc286da
4,1a6082a5f8db32a58ef56a049b076a94,e9f462a07180330c8f154861fcea1b9c,24ff32a95e9a3dc7931be29ea6b32613
5,7ce775465f2f313f8d817f0e5e8dd86b,f8b8a4cd96fa36c29f47c93679dad610,8caf954a7f2633139a0259618d4757e4
6,e5b879ffe7253c229acb4378394db130,062ee29fdc60322f8e444d0f1db0edbb,833b34d7b29f353395f27a48e0751839
7,8b6d6bd41f593be082d449892dcc5300,b6b95713c95e30759c974673404fbc16,9dc960c657da30bfbd4a29f2ab0ac073
8,8324d3b4e7583ebc9c40575fcda6f1d7,77a7b42780413be2abfbcbb5d877e402,069aa1aa89e5378ba35651ad5fad2818
9,cb2a098f37dd32f6bd328b1fe578aac4,f74870580fb83927be86b20ed9a3a8b5,9df371bcd3313446a23264a889aad8bc
10,cf5b6b23203c3bbb8a359c0190cd275b,3c9ebb712ac33ff4aeee37871591cdd9,8ba2453ba25b30b5843c4b966212845d
11,458896c2c51d3431b6a206d3e94a6e41,62fe4c5b88403538a9df797628b8e816,631de7c473d83476948d068eede1236b
12,6999b8605bf53a74bb5b4390230db458,28ad938d67fa3ad18fed617535ef8bf5,318bcbeedf653ef1a354528923a3f29d
13,bef6808fc06d3f629b80255515866ad7,5de10bd34c123fab853eeb0c43808e0d,2a0fcd737ebf34159905ff1d1193448a
14,2a71571f144e3a9da954dda02fca1250,898281f379aa30c98de01d113c740d23,5893e98809de3c6ea5bf180ead46a188
15,3ea7c49c9b2e31988a081bd112decabb,13455ddd0c1b3bab82c4966954637d12,54e6300ff2de36ae80dda1e9f158b369
16,72e75d9d56e03501b4a88a25a94d6809,140e46060b153a93ab5310a1e54df236,10149bc7bcf2369c9414a6840d0bf2ab
17,fe5457ce54113da4b23acec9c0471af4,6a0ca259e70f3352a61d42d3ad3fa225,7c4985b467003eb7ac3cbb599380c6b3
18,4e0734195c1b30e9b836d74cec1e64e3,a4280ead21ed32eeae98d5eac943fb46,a1b13d6d3f683caf9698eece1fb74c3f
19,c7fd1183991538fc9b6bd749c8ed03f3,a3afa2c41a663bd7977a5643f9d298d5,5d79ec8d4c5b31b8a986c417335a5083
20,40fd11797cff39269d6782ce10995ae8,5dd872f23f753a1186da273e1a785498,c6f59613fc613f05b5c0c5baa7646ef4
21,3d6c3c76ae9c36f4929949dbe8620420,300c58be50eb37febc10d47fdc728bca,993ce98bf9e237309133432c23cbf309
22,edca79797f2731d19def19960d80620b,b3fa6ba5d40f308b90764ede39b6df60,602f3530525e3d0e99526b1cc6778d48
23,7a18473759723b38914be8f5a58e5bb9,415c46d278123916a2f8ec3b6b944f78,c73d5a91f7a43f1b9ec45e3af34e9484
24,9e3dcf5bbd4937e09ff633f8174e5261,137e7ce90d8a3e76a2abc4330c8e1a2f,e33f9e2d96ff32cf82159e99ec3f8cbb
25,9d94c9712f5535128155cfbdc84af3b9,9e874569dc423143a2f5a3a6f2d06c6c,bd7168c6e8c234f6aab335d3785f8c69
26,3cfa4a12837636a4bb0c897dc950f415,68e4cf4489a337329056649a9699fb0d,d285ab564f063e469b76d12bb36d1b65
