,train,val,test
0,8adb6e80e34d373bbf04ba09714ac085,1d765147609c3445b6e209347cb44844,2796172877113bd0acaee7480506a100
1,e5b879ffe7253c229acb4378394db130,80b59a78f0843114a602362b0c5f656b,e9c8fc704f763ad58b90a31585aa560a
2,6999b8605bf53a74bb5b4390230db458,16edc63db85837e4815839779ff1d945,9e874569dc423143a2f5a3a6f2d06c6c
3,bef6808fc06d3f629b80255515866ad7,acd776eefb32343e8a77724afd720c67,e688c1c32852351bbdddf977eb1aeb8f
4,4e0734195c1b30e9b836d74cec1e64e3,9e57d8228f2638038f3de47d8e45b76c,16adab83bf553fd6954b904b70a654ae
5,edca79797f2731d19def19960d80620b,885a96637d5e322e801bff18ad7f09bf,5021b35928773940b2c2983894706601
6,9d94c9712f5535128155cfbdc84af3b9,27c03830ea7b3b7b8fa2ab61d4c0b6b8,d31d9c813532383abbddfb0203a310cf
7,d5d75cf8253f3f0b83ad1acc9cca6e57,af786d7b3a3a369fa7c72111ef6d9e4b,3e82697cf2433a3ea0426d1e4e24d4ca
8,0cbc60819e3d325f8f3ec58c71cf4639,ce3ed762de0f3fa9b560a41111ee13a2,d82bc2eb65203ca895b4482c9ef3caa7
9,aa9e9bec924c3f35812eb7d57ff9b743,f013e2cec67f3abc9e0990f98bc6943a,4a2bf7c073ea3fb78de16ba44208c031
10,391a5d4152db372f94cb2aa98d50da24,03bc623b99df35ba89ed983808e911ee,fc5053c2aceb388b85ebac2d49678d14
11,43626fca49523b07aba18170b50b0e90,3da1ec3721793a4f8afc3f8e03ce6c7f,d969caf4a48b3b949c674dd6d357f682
12,f8f90347f4fd3ebb9bcb4e1580f02a00,e06a71e71bf233598e059c3763819036,d4010f9454303d3aba34eef2e28d7170
13,3d227fa6e9a23047ac07044df7f34d2c,86d87ec49f9238e084bc8aa009e98ca3,b24a63a88df739c6a46e6b7eb5ec5f26
14,73108e1ac339336c82e77aab32e68e94,9573b628051833f8a6af8bdcd49eeb7f,759ae81c49e73b8989dc87a90214a58a
15,9ae3ce88c22e361eab4751434ec0e4d5,29a49ca23f37390589cbbe7871d3f553,9fcf6df314893daa8ad549681d311dc6
16,0426842b303234c09cbed757e24aa45e,6ab52e45d26a39669623924aaf63e364,a8b13941ce8536bbac4b13c0e25ff7d6
17,9d275eb793e93eaba93997b5c05cf35f,8f9ed5e19d7638ebbe0589e8259d527f,08d4614bec993713bfeee25eda31196e
18,efc7aae262003a25934665d2ece4a70a,0f20ad820ed43cb1abf69c372f3ffbb5,346105f8f2ad3230b1a27358fee5040c
19,da85bd70baf03102916089ceca73d21d,28b151ec404b3496ac4594a406f47376,09b70528ce893163a0408f76f7d8a672
20,e6c2d8b6642e31e5a827c1a1721dbc38,2ab7277dec4937b9a782403a147e0216,c2fcb904ee1a3f73a7c91c2ff690ab0a
21,7c898555c33e3dd9b32adc77a3e463b1,647f97d685b63757b9df4ccd1dff07aa,3b3253a85b2034a39290a72501738b32
22,6a0849217c2a32b99ec196de52161ae3,48f2c54dbb0f3e5c8de54d9dbda224e7,66b233345aa83e4e9ef06f5646f76904
23,99e0487b77783d74a86075642fc8aa3c,6ac8ece2b7db3b0a9415474fe009047a,ee1af257cc9f3d22ac9cc15717157e9d
24,951e6470820b3177ab5608cab540b659,9bc98f15992b33cbaffb93b6ddeb17fd,b7f1919397a53aff9fb3474b218de954
25,1e8d8df9a47431388e86e371f11dc685,4fb6e78c367d3ff9b30e26c063051a7d,a89df1b7bc033253bf348202c4be5522
26,2697618e14433a7eaed34c5a96c3f37f,7e8eae07ee64399f96594a619afcf3c9,1c27efa3599934648c8e054ffdc9fde3
27,d79f816c8a803dd2b0d4b7cebb536f34,705088c72f0633b0a900649702dba8ba,f5bbb0773c3e3726bb333e93e5c68522
28,e71b773a28ca33508e34c154a702dbc2,46e6eebc22cf3626a6f4b7e8d6b742e3,dce8404c7b7a3200a26d111d667dc82c
29,8c5202d45ba1383fb232830263f3728d,c6edcb0f400b3b7696952bfd0dd14c04,ae7430b0da493ab0bda978dd3aa5c73c
30,0abddd83018d322395bfbf359727168c,da2580e4fbca3a02ae58d28db74ae219,1d8714389e4b35269b6c64d5d90b0b93
31,58bade8abd4b3adebf62e069ee7dd605,8014742546bd38f6b6cc3baf450fd821,0b139a3c11b13c1eb23a5cc1933720c7
32,c35c15b81c033a41b54a40f3c2c973a4,f80b0ac4e63d3c3d9738de64c160a29c,76c4873da4003cebb68f18e31cacfdfc
33,380c59035435318eb6d8a35fa1104e63,ddddd659c9c331f5abe2153401db8c80,85d933cb5f183207b120aa9606ca2673
34,5bfffda8f71e3b42bd702241af34c122,e956c8a3641335b8a3b95372a03388ba,cfbef7ae82a63191a5b1821b5853e4e7
35,15612c2add0a38c8afb94cfa1ab452db,64f3c60343d034ada51a9248fc0d7a2f,89075343ded83f219c521b2bab21a465
36,590ee3cccb1336fcbe3c6ee7391fd9bd,867b2ffa84fa3a2389e9c6310fb03be6,1b216d24b788337f95d00e8bc1275953
37,6bb959ec43543d3bba7504b1149b9256,012b593999073751b021a160b1a65cfc,fd2bb5f4a8fa300ab4ea4b11fd8a12bc
38,f29fbd2d671c37d69004f420842bd5cf,998b19f6ea6b31eca856cb3d6a3454e9,1d4bd87f5b4e3c77a10be985c85c3d60
39,7f379eae86bd37f5aeecaf24c1aec3d0,177c9a08c2b03de8b94f43ab59cca983,9a11273a665b363c9477ecccb2c3854e
40,fa0f40e97bef34918f6f61caededc748,0c13a216f7d236f4be909ffca1b2d235,f6327551aae33c69bdc6af6ab6a140f6
41,46b09fc57d913dcca98d2eb09498c003,8a118e41e17b32f586c6c1cad779eee2,2f836c4647d430d895aa81df5157b9cd
42,eaedac432214340fb6ac981091071cb2,7d9a8aed48703d969edd6592879c9810,d9a6f816b1923732b0352e8a982e4260
43,8a5033ef0c283511b1a989af41805401,6447f21d57d43b0da0cf6a5dc07055a1,d34fa532529836219f5ca728b0b77e5c
44,2ddbf790dc5737378e57b7eb35048127,415c46d278123916a2f8ec3b6b944f78,fef4d80255ed31a2aea850736d11beea
45,46524d2653d43bcf959e5cb4f96d86bb,a35521db92a43808ad78b861fdcb3441,48548fe8a2e63dbdb1a55bf0f384a167
46,15040c5b2c513d519056b2b0a261b33d,d83c8db8ac9538acac980165ac86c9c5,f3bd15f1c1e73997bcd11d92f36e7bf5
47,4fd87a22114d30c78cd3c32f1ebe5909,3bebf6c1292330a0b8af646f3a5020a3,8f3f43b9727b3c039490cbbae992840a
48,046f5cbe45a53ed7bfb59516e83ed6a3,6a89e660d9c9303ab9f68449c0fd4a00,f627c0387cff35eb98b5d8693f4d018c
49,435dd4aa3355348dbd151909e052c67e,ab0b1ac022173c1f8e08e6390befa09a,467cef9e180035dcae505775924f72ed
50,d2cdc570267139a29ce9146b4a0a4f9d,2a71571f144e3a9da954dda02fca1250,147cb64e2168366c881410299ae41556
51,01914a56bbf0316eb53d6d7bd6b56921,702432e76ac93b358a02319deb9351ef,efa0e19216563a36bec1a6353f200d2d
52,a7b7b066711531b690564a1ce397b407,a0192fd3019f31f4963c1c6257ce0a12,ed4f35c3fd5c33b1b5a833aa3248530f
53,31b6bfe087f83607bc1a15e91ff125ad,d211cba5c1c834b78797757400956502,df766b01434b34ceac58d6001981d6a2
54,a35483f58de633638a48111c19f12db4,60217b09bb193b569bd57d94710497e8,4e041a6fc65e363ca95f0cdafb0fa78a
55,4145045238ae34be9ce546b3497a0e6f,1dabf0c16f3436bcb5906962399a48e0,ae4864e04ad93dac849e95a6dd61f281
56,0fc63a4f79aa3862ab75003c07ecdc52,6607551d864d314293e86edcfa4fcd57,6d71479e01513755ab8d456456367777
57,a761ae63abdf3ae9bd30512f47ca4aa9,c954c0ecb3ae36c9bc641cc52394ddc0,77a7b42780413be2abfbcbb5d877e402
58,cd619bd94ed8355387a712f7cecb426e,4531a6e6314737209e374518ccb191d2,b3995b50dee83d2db7e1af0c512babbf
59,a193fff871b537b88b4bb90e0a0bb600,03338beecd6c3f358d22f14e4a559331,388f2ee5e3203913bbcba13142de6f66
60,75266eaf4b8c3ba599c44d1af1e157eb,63fb7fc62bfa32cdb45637d3fc8af707,a6774a7ccdbe34c2a97a02426f75329a
61,e3e8f38be3913b549270d33f29f48f15,d216ba5dabf93ed69d5eed8671c28af2,470060f99c563be995a7995826ce3975
62,402a2af71cf43bf68e5bb080ed05f23f,d1116ed5a5e93d4d9d70cf6d7fcd51c5,bc6f7eb27aef3810834a04b7f5a1092e
63,62f0fd3b7e2330f0830e3489e52a35ef,4daea37239c436458e02f2110a8bfee6,87b34802dc4730b4828b1a4d51292812
64,4d5be2f9b85d3233ac57ff8c9db85488,6e40dc857d8731078fd6396bf0dc0c64,ffc305049c8b335ca1222b323048b286
65,506950a7e2e936a5a9dff83122c2bf68,3af4e7e7fcb335bcb88f78b85d670ad2,fcd4bf31700231b580968f7b58a4060e
66,ab278dd425e43154a0ded9e7598ab51d,bfb51460cf463f1e9dc2951f5b19fe3e,62446753d0353d8f92ffe529fa64fb07
67,c52bf81972d430abbdf1a6cf9a6399c2,158a6cfb70dc3fd8896d28b23d977ef1,332e1e0217b33904bbda50f50f62d848
68,aace3dcff8b131c68435a126ce9049a7,48ba5a17ba4131bcae8cde1ad5a176ad,628d5ef38a9532c1a334a403b71bc121
69,0e4e39c1c0493d628e78a84bd831dee8,5020b8227071345b9152a06192b327a1,186a8bba09be3930a4ae79ac24ef3f7f
70,52853c7c4e8032b38dbf8ceac3079b42,f5a0c0e7f5e23d2696a012c7cd9f87c8,218e0854216d3ba8b16622b2e74117ec
71,0c3ccc68bb8f3804b9354614dee25e96,c2b7174383f23af987062d4f15d4d280,62de08f25ef1378c90fedb64183cb192
72,321a2f2fd293371ba8f17226ed80f8ba,9777f8f15f6a3da19526aa12e708bfa2,0e8c636aa5eb30cab15ef507b8cfcb7b
73,c2563f40816e380cb416f74038c0a96b,8869f06074cb32d89d05cedd8fb68a6b,abc6ac2ea8e03206b53446cabaf85b61
74,ff6a51e183393aeda7507d6bc406de98,adef544ddba2383c90e7de5db5d5e6a5,2117ac8755273cd8832ac6714392f436
75,186a536b27bf3e7dbc1775a516c67ad3,5112ee4630fd31d7a3d51f3564980c18,5d2a0c78771e35eea748f015a3f4ecb6
76,5ae3ca06e5773777b899b863f35d74ef,928599d491893cdc868ca952a350c5d8,b88068ed647c3dfea8db089508de9300
77,a17677a5e218306ab32719193c49c5e6,0d5bb02b5661362688a634d6464dd722,29028f56566c362fae34823be04b8992
78,474921bfd83b35da92fd12fbc52026ef,1f59f27137d53f42bb1358079f89de8b,775c1028895330c0a46eef54339145cc
79,29a5f769c32231ff9a3eab6050dd0f1c,c4461c1fb3fb38a7a047d1a095d99c8e,0677625d548c3f2bbb3f36ab4f053eba
80,eafb983d233435f6992b374557885a68,e40d6f4607de3f24aee38be0a9e135fa,7756d7ff743037a0a562292d5ef2f8ee
81,dc9b0107666836478956cd4321b352e6,fe453897d1923847a6525c95c7d84b66,c6621e7727f1330bbc3d36f4c357024a
82,d9366e3fa842383cad15377a71e715d1,074e2440acd834bcafc92811eb09d0df,7df675cc92013d308f921cf9c48bae66
83,bb40d7716e9130329f7837694d8309cb,10be11ea757737568f7092513ca92cc7,6dccd98096813514babf492b37ab1137
84,14800c8e2caf39e09309eab9b568b288,c56f99b5756c39f6ba25d80115e73b01,84009c3b28393d7791ffc172e56f73dd
85,bc6abc2ae6863bf2be2410de3017c32c,ed564513886c310bb77184f1b77b72e4,b18af64cd1c336cdb318ef389a687d7f
86,5b15ec0604f23398aee8f99f5ddefe1b,3474e8ac6270366b8a35a9d45ab47996,556ec81592ae38eaa339be7a2276e320
87,d5c955c7207030b9af51027ace069e24,da9544fa99d8375d90543ac0b520eba1,8817db76b3933952b7e901a0d422c40e
88,c5763e0acbfd3fbc95f8796097db4876,f8b8a4cd96fa36c29f47c93679dad610,d070e17ba61734098d3a39d7d96c8e06
89,faa0e8f863be376ca1672caebb128b11,d4ae698d92093eb08eb5c0a7c428aac9,8e7a72c4c1c138e5a4b9a52fa4597d5d
90,9a115df29b7935099e737c88144670a3,fe85f40102af343486f4d2caf33b3e5c,8d7f1ad1d1483d50bc96e58dcb00b56a
91,f034d35b5f4e3812b44e5c30827eb7ef,05b6886818533b6f8aaf579248da65a3,7ad67b5852e73852bb78548fd523d1a9
92,446b6630d02a3ca7ae7cd5b7a8c983ad,2c283676f6f1341fad4ea0a456db4a9a,2d7e293e844034d79edf8a47b70f05bd
93,df18fd696c1c3fe99236adc707586c05,5dac68b46e393f4e92330bf866576ebf,79fc45fe13f739a59d298f548372e2df
94,c6537628e1a83a368ffe7c8795cd2876,2025cded74bf36b987e27ab84f714e44,2ab6f78a5a773a6bb7f2ce5324b31f56
95,c069e5b8ac6b3829b915847ab46654b8,ea9c13d8f3d5381ea11b6b8f4a1510dd,236332684dc43ebca29d361ae894cca3
96,ebbc811aa8773fd1ae5a208cbf071e8c,befbb385768d385e8058545982154991,90eea3b34cf232faa8d7ec2e141809c6
97,6a3023c01cea3c8fbbc51871cbd29df7,72fad5549d943eee86893de9c00decaa,4a4b9f6c90af3ab2a4b8ddee93d952af
98,8d4d8f8dc77e3a109b21bdb5ca65662a,bf77f2a58bde3676bde42029fb43495d,3d6c3c76ae9c36f4929949dbe8620420
99,cfcd385961f03097921b35887e9a2c10,8b6b45c34d3e3be0982fca0146fb5ec8,d9384621ee223f01937551269d793015
100,7ba1deef34393ae999f620092eb27259,e81138d1acc736d79b2bda133174f1e3,ebf735a86a983cb9859322ef52ac64e9
101,4210b6b86ebd3a5a9f3a74cb9a1f8e09,40f87070d2d13d32a05408127037d5de,208ec075e71d35d2badbaf64a4bfca98
102,ada7f2621f99372d9c404fd33d6211ef,572bd642151d3269a4e56922a1b22fe0,7307d1af34223859b5e76563512f1cd1
