,train,val,test
cf5b6b23203c3bbb8a359c0190cd275b,True,False,False
6999b8605bf53a74bb5b4390230db458,True,False,False
bef6808fc06d3f629b80255515866ad7,True,False,False
4e0734195c1b30e9b836d74cec1e64e3,True,False,False
3d6c3c76ae9c36f4929949dbe8620420,True,False,False
edca79797f2731d19def19960d80620b,True,False,False
775c1028895330c0a46eef54339145cc,True,False,False
d05f6f05e6d93673aa0301092286ade8,True,False,False
aa9e9bec924c3f35812eb7d57ff9b743,True,False,False
929a4ec914b639878fe909a2a34ab01b,True,False,False
f8f90347f4fd3ebb9bcb4e1580f02a00,True,False,False
bb6460d462633ddaa4a13d8bd59689a1,True,False,False
3d227fa6e9a23047ac07044df7f34d2c,True,False,False
0426842b303234c09cbed757e24aa45e,True,False,False
9d275eb793e93eaba93997b5c05cf35f,True,False,False
efc7aae262003a25934665d2ece4a70a,True,False,False
e34e4283986e3c3696bc634dd1ae059e,True,False,False
da85bd70baf03102916089ceca73d21d,True,False,False
e6c2d8b6642e31e5a827c1a1721dbc38,True,False,False
03bc623b99df35ba89ed983808e911ee,True,False,False
8bd17c92e660314991ae5b7f29d034f8,True,False,False
e688c1c32852351bbdddf977eb1aeb8f,True,False,False
7c898555c33e3dd9b32adc77a3e463b1,True,False,False
04142d78121f377c85ff32f8b5c8dbff,True,False,False
99e0487b77783d74a86075642fc8aa3c,True,False,False
1e8d8df9a47431388e86e371f11dc685,True,False,False
00518fe8eb443fdbb9907b74a0bcdeda,True,False,False
2697618e14433a7eaed34c5a96c3f37f,True,False,False
d79f816c8a803dd2b0d4b7cebb536f34,True,False,False
e71b773a28ca33508e34c154a702dbc2,True,False,False
8c5202d45ba1383fb232830263f3728d,True,False,False
0abddd83018d322395bfbf359727168c,True,False,False
58bade8abd4b3adebf62e069ee7dd605,True,False,False
d4010f9454303d3aba34eef2e28d7170,True,False,False
380c59035435318eb6d8a35fa1104e63,True,False,False
aa64084ce1d93bd4a8d3d69c92192e59,True,False,False
6e446729fbe4391a83c7299f877c4cea,True,False,False
f71923649c2f3831ad5bcd56df1f6189,True,False,False
0f9dadbb80ad33b6ba41b2bda2554228,True,False,False
15612c2add0a38c8afb94cfa1ab452db,True,False,False
590ee3cccb1336fcbe3c6ee7391fd9bd,True,False,False
6bb959ec43543d3bba7504b1149b9256,True,False,False
