,train,val,test
0,8adb6e80e34d373bbf04ba09714ac085,8324d3b4e7583ebc9c40575fcda6f1d7,883cac18753d326da21a59ba9e134872
1,8f9ed5e19d7638ebbe0589e8259d527f,72e75d9d56e03501b4a88a25a94d6809,4532155c1da23c85a95e8872af2c4e31
2,48a63d4835c130e3a3745c61682ff980,fe5457ce54113da4b23acec9c0471af4,ba5a8d229b163a83aa59e2cfcad4b472
3,61d24b233da23737b5ecefb40a06c276,c7fd1183991538fc9b6bd749c8ed03f3,138da0d764473bea861e3c14adc286da
4,1a6082a5f8db32a58ef56a049b076a94,9e3dcf5bbd4937e09ff633f8174e5261,24ff32a95e9a3dc7931be29ea6b32613
5,7ce775465f2f313f8d817f0e5e8dd86b,d5d75cf8253f3f0b83ad1acc9cca6e57,8caf954a7f2633139a0259618d4757e4
6,e5b879ffe7253c229acb4378394db130,391a5d4152db372f94cb2aa98d50da24,833b34d7b29f353395f27a48e0751839
7,8b6d6bd41f593be082d449892dcc5300,7d97a6f8489e3c7686bfb8519bfff2b8,9dc960c657da30bfbd4a29f2ab0ac073
8,cb2a098f37dd32f6bd328b1fe578aac4,929a4ec914b639878fe909a2a34ab01b,069aa1aa89e5378ba35651ad5fad2818
9,cf5b6b23203c3bbb8a359c0190cd275b,b5feeda786343433a3d3b01f098b7586,9df371bcd3313446a23264a889aad8bc
10,458896c2c51d3431b6a206d3e94a6e41,7371ee258ef53ac28479ffcdd1bce2b0,8ba2453ba25b30b5843c4b966212845d
11,6999b8605bf53a74bb5b4390230db458,73108e1ac339336c82e77aab32e68e94,631de7c473d83476948d068eede1236b
12,bef6808fc06d3f629b80255515866ad7,c5bf9cc5388e3d94a0466931b403b55a,318bcbeedf653ef1a354528923a3f29d
13,2a71571f144e3a9da954dda02fca1250,0d5bb02b5661362688a634d6464dd722,2a0fcd737ebf34159905ff1d1193448a
14,3ea7c49c9b2e31988a081bd112decabb,aada27d88774344b930ee55d9a9c6055,5893e98809de3c6ea5bf180ead46a188
15,4e0734195c1b30e9b836d74cec1e64e3,84029b503c6d3c439e7873f091274119,54e6300ff2de36ae80dda1e9f158b369
16,40fd11797cff39269d6782ce10995ae8,da85bd70baf03102916089ceca73d21d,10149bc7bcf2369c9414a6840d0bf2ab
17,3d6c3c76ae9c36f4929949dbe8620420,1c83f704a70b33f7811d6b34c1e506a9,7c4985b467003eb7ac3cbb599380c6b3
18,edca79797f2731d19def19960d80620b,ba2ce0b6a5b435ae8fc2895a65ccccf1,a1b13d6d3f683caf9698eece1fb74c3f
19,7a18473759723b38914be8f5a58e5bb9,ff667cd990b23eb5be635f0466c2ee85,5d79ec8d4c5b31b8a986c417335a5083
20,9d94c9712f5535128155cfbdc84af3b9,99e0487b77783d74a86075642fc8aa3c,c6f59613fc613f05b5c0c5baa7646ef4
21,3cfa4a12837636a4bb0c897dc950f415,1e8d8df9a47431388e86e371f11dc685,993ce98bf9e237309133432c23cbf309
22,ef9d68ff96de3defb8deca6792e7d1d4,00518fe8eb443fdbb9907b74a0bcdeda,602f3530525e3d0e99526b1cc6778d48
23,a520a6f552a1389592f816147c518a41,eda4063e4573376eaa9ede0ad497155c,c73d5a91f7a43f1b9ec45e3af34e9484
24,05c7b3cec73638f98757a5ef6245d692,2ddbb8450e943e8da1604ef03c678609,e33f9e2d96ff32cf82159e99ec3f8cbb
25,3ff1b25e0b9a338d991770e7fbada15d,e71b773a28ca33508e34c154a702dbc2,bd7168c6e8c234f6aab335d3785f8c69
26,0d1c01dadc373364960dfbc5f63f36bc,9202b1accf1e34cdb641e7434dd46747,d285ab564f063e469b76d12bb36d1b65
27,d82bc2eb65203ca895b4482c9ef3caa7,8c5202d45ba1383fb232830263f3728d,fed3488823093a6e91d758763b577260
28,775c1028895330c0a46eef54339145cc,f27896d96eb636c1bd59e574dff26ef9,34ffe0d1dc5c3db58133d24b773afac5
29,0cbc60819e3d325f8f3ec58c71cf4639,a44a0a32d08c368c9c75e53d2b076def,c43a6947b2c13ffaae80d2195e134383
30,d05f6f05e6d93673aa0301092286ade8,1fa771c36dbf38509ffa11e3581b0900,4b6603bb9ec7309290ea08d35aebdb23
31,f409cfcb34fd3865913245866d139245,4f70d885764831aa8e752e26c9391411,c5f6d0d34e7b39238fdd68d966ec689b
32,ce0e418342fb30d387c2c07de4469573,590ee3cccb1336fcbe3c6ee7391fd9bd,860d0af6898631888b1c2f87e82cf66d
33,aa9e9bec924c3f35812eb7d57ff9b743,c85e73554bea32ee93c376ed9c027536,6dbb83bba4453e4cb4123ec97c039eac
34,8184beab986f31adab538f12bdd81240,dce8404c7b7a3200a26d111d667dc82c,9ab196d1401a3edd854ed89be26ab405
35,2c704b7b005e3f4d8c34d9a31551f35d,a248166135883bc0bf25f2b90692f8ba,695691908d9a318d8363b23f83ca7324
36,43626fca49523b07aba18170b50b0e90,fa0f40e97bef34918f6f61caededc748,24c0312653813a5baa6f8a19073902c9
37,f8f90347f4fd3ebb9bcb4e1580f02a00,85058cd38a6e3f95ad1e8e7cdf968b37,18bcfd9685a438b4bb4e34cc2d38eb0d
38,bb6460d462633ddaa4a13d8bd59689a1,8a5033ef0c283511b1a989af41805401,7027a554b0063a46adbd2fcc3d170e2a
39,6bba38b9e3ce3d9995144b3aadc258c3,15040c5b2c513d519056b2b0a261b33d,0e854a9d102632f0adbb58fcfc731b91
40,3d227fa6e9a23047ac07044df7f34d2c,046f5cbe45a53ed7bfb59516e83ed6a3,ab59121a4d0a34a3be5af44fadc5017f
41,864e0fe4e37a31049c42e9f8b51b6ac2,d2cdc570267139a29ce9146b4a0a4f9d,8d71f3838cb2317885a4f242fadad9a9
42,9ae3ce88c22e361eab4751434ec0e4d5,0ae61fee48803dfaa9cc1bf6e524ce5f,ecfb4c6a2b2e321b9a361848bf88da73
43,0426842b303234c09cbed757e24aa45e,3f3c4efcab6730169458cb9a369d20a6,fb7e85f578763c2d8b525f4e9d1721f4
44,c88d491d17313b6b8b02fae8c1521218,ca29f062520033d5ba51afb6f101adfd,8e340d42faad3789b691391c627b51e2
45,9d275eb793e93eaba93997b5c05cf35f,11443e6aedde3cb092be2250c51f07f8,f08f706044ba3153ba033e4297b9aeb8
46,83f62b412eae32cd8a9bfd257bbf27a6,c52bf81972d430abbdf1a6cf9a6399c2,8de1c5989ae339d1986c16ed386a7a83
47,efc7aae262003a25934665d2ece4a70a,aace3dcff8b131c68435a126ce9049a7,13c0cc84dabe34e3bd388e9534834d42
48,f7542dc901b23d8785ae5a9106243aa5,e2a0f47e882c39de9eacc123afe3e697,b851ba95abeb335fb502676fc040ffbe
49,deee89986f6f3749a7ff6fbd2fab01b2,0fdadd65c397335ab8d235b562579a53,0b3119a5121c36438fb0740f779bd1e9
50,a41560c5f9183813bc63a4977ae13d73,0e4e39c1c0493d628e78a84bd831dee8,10f359a9800f3cf382560c4560e085b9
51,e34e4283986e3c3696bc634dd1ae059e,52853c7c4e8032b38dbf8ceac3079b42,0409c58c4ac53c7ab8a429fac267606b
